
[Name]
Plane 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ]
1.083986e-03, 3.392720e-03, 0.000000e+00, 1.965629e+01, 3.380634e-02
5.944842e-04, 3.193149e-03, 0.000000e+00, 1.963847e+01, 3.126282e-02
1.083986e-03, 3.193149e-03, 0.000000e+00, 1.960444e+01, 3.540905e-02
5.944842e-04, 2.993577e-03, 0.000000e+00, 1.957817e+01, 3.403992e-02
1.083986e-03, 2.993577e-03, 0.000000e+00, 1.953958e+01, 3.722860e-02
5.944842e-04, 2.794005e-03, 0.000000e+00, 1.949954e+01, 3.708751e-02
1.083986e-03, 2.794005e-03, 0.000000e+00, 1.945768e+01, 3.935843e-02
5.944842e-04, 2.594433e-03, 0.000000e+00, 1.939538e+01, 4.053328e-02
1.083986e-03, 2.594433e-03, 0.000000e+00, 1.935290e+01, 4.191703e-02
5.944842e-04, 2.394862e-03, 0.000000e+00, 1.925916e+01, 4.447855e-02
1.083986e-03, 2.394862e-03, 0.000000e+00, 1.922004e+01, 4.496465e-02
5.944842e-04, 2.195290e-03, 0.000000e+00, 1.908005e+01, 4.900452e-02
1.083986e-03, 2.195290e-03, 0.000000e+00, 1.905014e+01, 4.856500e-02
5.944842e-04, 1.995718e-03, 0.000000e+00, 1.883031e+01, 5.444335e-02
1.083986e-03, 1.995718e-03, 0.000000e+00, 1.882188e+01, 5.298021e-02
5.944842e-04, 1.796146e-03, 0.000000e+00, 1.848329e+01, 6.118148e-02
1.083986e-03, 1.796146e-03, 0.000000e+00, 1.852405e+01, 5.835862e-02
5.944842e-04, 1.596574e-03, 0.000000e+00, 1.807229e+01, 6.865386e-02
1.083986e-03, 1.596574e-03, 0.000000e+00, 1.817330e+01, 6.407625e-02
5.944842e-04, 1.397002e-03, 0.000000e+00, 1.752225e+01, 7.704590e-02
1.083986e-03, 1.397002e-03, 0.000000e+00, 1.752354e+01, 7.200680e-02
5.944842e-04, 1.197431e-03, 0.000000e+00, 1.657635e+01, 8.912161e-02
1.083986e-03, 1.197431e-03, 0.000000e+00, 1.626113e+01, 8.685814e-02
