
[Name]
Plane 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ]
4.77192989e-05, 1.79614604e-03, 0.00000000e+00, 2.00006924e+01, 6.17760234e-05
1.04982457e-04, 1.79614604e-03, 0.00000000e+00, 2.00007610e+01, 1.34774324e-04
-4.16333670e-20, 1.59657444e-03, 0.00000000e+00, 2.00009251e+01, 0.00000000e+00
4.77192989e-05, 1.59657432e-03, 0.00000000e+00, 2.00009518e+01, 8.60178843e-05
1.04982457e-04, 1.59657432e-03, 0.00000000e+00, 2.00010090e+01, 1.81228534e-04
-2.77555802e-20, 1.39700260e-03, 0.00000000e+00, 2.00018120e+01, 0.00000000e+00
4.77192989e-05, 1.39700249e-03, 0.00000000e+00, 2.00018482e+01, 1.61538308e-04
1.04982457e-04, 1.39700249e-03, 0.00000000e+00, 2.00018578e+01, 2.93979509e-04
-1.38777917e-20, 1.19743077e-03, 0.00000000e+00, 2.00083466e+01, 0.00000000e+00
4.77192989e-05, 1.19743077e-03, 0.00000000e+00, 2.00081806e+01, 2.91523611e-04
1.04982457e-04, 1.19743077e-03, 0.00000000e+00, 2.00069408e+01, 4.78519360e-04
0.00000000e+00, 9.97858937e-04, 0.00000000e+00, 2.00142651e+01, 0.00000000e+00
4.77192989e-05, 9.97858937e-04, 0.00000000e+00, 2.00129242e+01, 1.00000005e-03
1.04982457e-04, 9.97858937e-04, 0.00000000e+00, 2.00076599e+01, 1.00000005e-03
5.94484212e-04, 7.18458416e-03, 0.00000000e+00, 2.00002995e+01, 4.50635343e-05
5.94484212e-04, 7.38415634e-03, 0.00000000e+00, 2.00002956e+01, 4.37099588e-05
1.08398590e-03, 7.18458416e-03, 0.00000000e+00, 2.00002995e+01, 7.89676051e-05
1.08398590e-03, 7.38415634e-03, 0.00000000e+00, 2.00002956e+01, 7.65775985e-05
5.94484212e-04, 6.98501291e-03, 0.00000000e+00, 2.00002995e+01, 4.65403646e-05
1.08398590e-03, 6.98501291e-03, 0.00000000e+00, 2.00003014e+01, 8.15652602e-05
5.94484212e-04, 6.78544072e-03, 0.00000000e+00, 2.00003033e+01, 4.81596762e-05
1.08398590e-03, 6.78544072e-03, 0.00000000e+00, 2.00003052e+01, 8.44007736e-05
5.94484212e-04, 6.58586901e-03, 0.00000000e+00, 2.00003033e+01, 4.99441667e-05
1.08398590e-03, 6.58586901e-03, 0.00000000e+00, 2.00003052e+01, 8.75094920e-05
5.94484212e-04, 6.38629729e-03, 0.00000000e+00, 2.00003071e+01, 5.19208079e-05
1.08398590e-03, 6.38629729e-03, 0.00000000e+00, 2.00003071e+01, 9.09329101e-05
5.94484212e-04, 6.18672557e-03, 0.00000000e+00, 2.00003090e+01, 5.41216505e-05
1.08398590e-03, 6.18672557e-03, 0.00000000e+00, 2.00003109e+01, 9.47197113e-05
5.94484212e-04, 5.98715385e-03, 0.00000000e+00, 2.00003090e+01, 5.65849732e-05
1.08398590e-03, 5.98715385e-03, 0.00000000e+00, 2.00003128e+01, 9.89272085e-05
5.94484212e-04, 5.78758167e-03, 0.00000000e+00, 2.00003128e+01, 5.93564764e-05
1.08398590e-03, 5.78758167e-03, 0.00000000e+00, 2.00003166e+01, 1.03622842e-04
5.94484212e-04, 5.58800995e-03, 0.00000000e+00, 2.00003166e+01, 6.24909881e-05
1.08398590e-03, 5.58800995e-03, 0.00000000e+00, 2.00003185e+01, 1.08886117e-04
5.94484212e-04, 5.38843824e-03, 0.00000000e+00, 2.00003166e+01, 6.60547084e-05
1.08398590e-03, 5.38843824e-03, 0.00000000e+00, 2.00003204e+01, 1.14811053e-04
5.94484212e-04, 5.18886652e-03, 0.00000000e+00, 2.00003223e+01, 7.01277968e-05
1.08398590e-03, 5.18886652e-03, 0.00000000e+00, 2.00003262e+01, 1.21508805e-04
5.94484212e-04, 4.98929480e-03, 0.00000000e+00, 2.00003262e+01, 7.48075545e-05
1.08398590e-03, 4.98929480e-03, 0.00000000e+00, 2.00003300e+01, 1.29110951e-04
5.94484212e-04, 4.78972308e-03, 0.00000000e+00, 2.00003281e+01, 8.02128852e-05
1.08398590e-03, 4.78972308e-03, 0.00000000e+00, 2.00003357e+01, 1.37773604e-04
5.94484212e-04, 4.59015137e-03, 0.00000000e+00, 2.00003338e+01, 8.64897447e-05
1.08398590e-03, 4.59015137e-03, 0.00000000e+00, 2.00003376e+01, 1.47682527e-04
5.94484212e-04, 4.39057918e-03, 0.00000000e+00, 2.00003376e+01, 9.38182493e-05
1.08398590e-03, 4.39057918e-03, 0.00000000e+00, 2.00003452e+01, 1.59057381e-04
5.94484212e-04, 4.19100747e-03, 0.00000000e+00, 2.00003433e+01, 1.02421669e-04
1.08398590e-03, 4.19100747e-03, 0.00000000e+00, 2.00003510e+01, 1.72156710e-04
5.94484212e-04, 3.99143575e-03, 0.00000000e+00, 2.00003490e+01, 1.12579117e-04
1.08398590e-03, 3.99143575e-03, 0.00000000e+00, 2.00003586e+01, 1.87287122e-04
5.94484212e-04, 3.79186403e-03, 0.00000000e+00, 2.00003586e+01, 1.24641010e-04
1.08398590e-03, 3.79186403e-03, 0.00000000e+00, 2.00003681e+01, 2.04806289e-04
5.94484212e-04, 3.59229208e-03, 0.00000000e+00, 2.00003681e+01, 1.39048541e-04
1.08398590e-03, 3.59229208e-03, 0.00000000e+00, 2.00003834e+01, 2.25132273e-04
5.94484212e-04, 3.39272036e-03, 0.00000000e+00, 2.00003815e+01, 1.56358423e-04
1.08398590e-03, 3.39272036e-03, 0.00000000e+00, 2.00003948e+01, 2.48733064e-04
5.94484212e-04, 3.19314864e-03, 0.00000000e+00, 2.00004044e+01, 1.77271359e-04
1.08398590e-03, 3.19314864e-03, 0.00000000e+00, 2.00004139e+01, 2.76187697e-04
5.94484212e-04, 2.99357693e-03, 0.00000000e+00, 2.00004292e+01, 2.02667550e-04
1.08398590e-03, 2.99357693e-03, 0.00000000e+00, 2.00004349e+01, 3.08146497e-04
5.94484212e-04, 2.79400498e-03, 0.00000000e+00, 2.00004616e+01, 2.33616520e-04
1.08398590e-03, 2.79400498e-03, 0.00000000e+00, 2.00004635e+01, 3.45136330e-04
5.94484212e-04, 2.59443326e-03, 0.00000000e+00, 2.00005112e+01, 2.71476922e-04
1.08398590e-03, 2.59443326e-03, 0.00000000e+00, 2.00005016e+01, 3.87721637e-04
5.94484212e-04, 2.39486154e-03, 0.00000000e+00, 2.00005703e+01, 3.18055099e-04
1.08398590e-03, 2.39486154e-03, 0.00000000e+00, 2.00005436e+01, 4.36784321e-04
5.94484212e-04, 2.19528959e-03, 0.00000000e+00, 2.00006580e+01, 3.75577831e-04
1.08398590e-03, 2.19528959e-03, 0.00000000e+00, 2.00006008e+01, 4.92671854e-04
5.94484212e-04, 1.99571787e-03, 0.00000000e+00, 2.00007782e+01, 4.45470272e-04
1.08398590e-03, 1.99571787e-03, 0.00000000e+00, 2.00006695e+01, 5.55094215e-04
5.94484212e-04, 1.79614604e-03, 0.00000000e+00, 2.00009346e+01, 5.32637059e-04
1.08398590e-03, 1.79614604e-03, 0.00000000e+00, 2.00007458e+01, 6.23311091e-04
5.94484212e-04, 1.59657432e-03, 0.00000000e+00, 2.00011845e+01, 6.39473845e-04
1.08398590e-03, 1.59657432e-03, 0.00000000e+00, 2.00008183e+01, 6.97068346e-04
5.94484212e-04, 1.39700249e-03, 0.00000000e+00, 2.00015697e+01, 7.63426477e-04
1.08398590e-03, 1.39700249e-03, 0.00000000e+00, 2.00008774e+01, 7.71729159e-04
5.94484212e-04, 1.19743077e-03, 0.00000000e+00, 2.00021267e+01, 8.76317441e-04
1.08398590e-03, 1.19743077e-03, 0.00000000e+00, 2.00008373e+01, 8.56181025e-04
5.94484212e-04, 9.97858937e-04, 0.00000000e+00, 2.00024261e+01, 1.00000005e-03
1.08398590e-03, 9.97858937e-04, 0.00000000e+00, 2.00007820e+01, 1.00000005e-03
1.57348765e-03, 7.18458416e-03, 0.00000000e+00, 2.00003014e+01, 1.09433306e-04
1.57348765e-03, 7.38415634e-03, 0.00000000e+00, 2.00002975e+01, 1.06151223e-04
1.57348765e-03, 6.98501291e-03, 0.00000000e+00, 2.00003014e+01, 1.12980983e-04
1.57348765e-03, 6.78544072e-03, 0.00000000e+00, 2.00003033e+01, 1.16829578e-04
1.57348765e-03, 6.58586901e-03, 0.00000000e+00, 2.00003071e+01, 1.21019970e-04
1.57348765e-03, 6.38629729e-03, 0.00000000e+00, 2.00003109e+01, 1.25599487e-04
1.57348765e-03, 6.18672557e-03, 0.00000000e+00, 2.00003128e+01, 1.30622822e-04
1.57348765e-03, 5.98715385e-03, 0.00000000e+00, 2.00003185e+01, 1.36153350e-04
1.57348765e-03, 5.78758167e-03, 0.00000000e+00, 2.00003185e+01, 1.42264209e-04
1.57348765e-03, 5.58800995e-03, 0.00000000e+00, 2.00003223e+01, 1.49039915e-04
1.57348765e-03, 5.38843824e-03, 0.00000000e+00, 2.00003262e+01, 1.56577851e-04
1.57348765e-03, 5.18886652e-03, 0.00000000e+00, 2.00003319e+01, 1.64990037e-04
1.57348765e-03, 4.98929480e-03, 0.00000000e+00, 2.00003338e+01, 1.74404864e-04
1.57348765e-03, 4.78972308e-03, 0.00000000e+00, 2.00003395e+01, 1.84968652e-04
1.57348765e-03, 4.59015137e-03, 0.00000000e+00, 2.00003452e+01, 1.96847264e-04
1.57348765e-03, 4.39057918e-03, 0.00000000e+00, 2.00003510e+01, 2.10227678e-04
1.57348765e-03, 4.19100747e-03, 0.00000000e+00, 2.00003586e+01, 2.25318829e-04
1.57348765e-03, 3.99143575e-03, 0.00000000e+00, 2.00003662e+01, 2.42348571e-04
1.57348765e-03, 3.79186403e-03, 0.00000000e+00, 2.00003757e+01, 2.61559268e-04
1.57348765e-03, 3.59229208e-03, 0.00000000e+00, 2.00003891e+01, 2.83236121e-04
1.57348765e-03, 3.39272036e-03, 0.00000000e+00, 2.00004044e+01, 3.07608192e-04
1.57348765e-03, 3.19314864e-03, 0.00000000e+00, 2.00004196e+01, 3.34909884e-04
1.57348765e-03, 2.99357693e-03, 0.00000000e+00, 2.00004387e+01, 3.65464221e-04
1.57348765e-03, 2.79400498e-03, 0.00000000e+00, 2.00004578e+01, 3.99369193e-04
1.57348765e-03, 2.59443326e-03, 0.00000000e+00, 2.00004826e+01, 4.36613715e-04
1.57348765e-03, 2.39486154e-03, 0.00000000e+00, 2.00005054e+01, 4.77351918e-04
1.57348765e-03, 2.19528959e-03, 0.00000000e+00, 2.00005283e+01, 5.21524518e-04
1.57348765e-03, 1.99571787e-03, 0.00000000e+00, 2.00005455e+01, 5.69290714e-04
1.57348765e-03, 1.79614604e-03, 0.00000000e+00, 2.00005589e+01, 6.20889652e-04
1.57348765e-03, 1.59657432e-03, 0.00000000e+00, 2.00005417e+01, 6.80159894e-04
1.57348765e-03, 1.39700249e-03, 0.00000000e+00, 2.00005188e+01, 7.48186139e-04
1.57348765e-03, 1.19743077e-03, 0.00000000e+00, 2.00004082e+01, 8.41452042e-04
1.57348765e-03, 9.97858937e-04, 0.00000000e+00, 2.00003242e+01, 1.00000005e-03
