t (s), WC (mm), RC (mm), Rf (mm)
324.5,2.1521,21.373,22.543
324.67,2.1519,21.377,22.548
324.83,2.149,21.393,22.555
325,2.1466,21.395,22.56
325.17,2.1487,21.4,22.566
325.33,2.1469,21.41,22.572
325.5,2.1483,21.416,22.578
325.67,2.1481,21.416,22.583
325.83,2.1464,21.417,22.59
326,2.1445,21.44,22.595
326.17,2.1475,21.434,22.602
326.33,2.1452,21.44,22.608
326.5,2.1483,21.443,22.614
326.67,2.1443,21.456,22.62
326.83,2.145,21.457,22.626
327,2.1475,21.463,22.633
327.17,2.1464,21.465,22.638
327.33,2.1431,21.466,22.644
327.5,2.1427,21.488,22.65
327.67,2.1428,21.496,22.656
327.83,2.1433,21.491,22.662
328,2.1413,21.496,22.668
328.17,2.141,21.505,22.673
328.33,2.1425,21.513,22.672
328.5,2.1408,21.52,22.685
328.67,2.1405,21.519,22.691
328.83,2.1389,21.528,22.697
329,2.1394,21.536,22.702
329.17,2.1391,21.539,22.708
329.33,2.1405,21.543,22.713
329.5,2.1408,21.549,22.72
329.67,2.143,21.556,22.717
329.83,2.1386,21.559,22.724
330,2.1392,21.57,22.737
330.17,2.1378,21.571,22.735
330.33,2.1381,21.587,22.749
330.5,2.1403,21.585,22.746
330.67,2.1391,21.599,22.752
330.83,2.1396,21.601,22.758
331,2.1395,21.6,22.764
331.17,2.1414,21.609,22.77
331.33,2.136,21.623,22.783
331.5,2.1359,21.63,22.78
331.67,2.1352,21.626,22.787
331.83,2.1346,21.637,22.793
332,2.1335,21.647,22.806
332.17,2.1354,21.638,22.812
332.33,2.134,21.645,22.818
332.5,2.1338,21.67,22.816
332.67,2.1309,21.669,22.829
332.83,2.1346,21.668,22.827
333,2.1312,21.674,22.833
333.17,2.1342,21.688,22.839
333.33,2.1338,21.696,22.852
333.5,2.1318,21.699,22.851
333.67,2.1334,21.71,22.856
333.83,2.1328,21.71,22.862
334,2.132,21.718,22.867
334.17,2.1326,21.727,22.873
334.33,2.1344,21.727,22.879
334.5,2.1307,21.728,22.885
334.67,2.1321,21.738,22.898
334.83,2.1307,21.745,22.896
335,2.1305,21.748,22.901
335.17,2.1353,21.75,22.908
335.33,2.1296,21.76,22.913
335.5,2.1269,21.771,22.919
335.67,2.1294,21.764,22.925
335.83,2.1291,21.777,22.931
336,2.1283,21.78,22.935
336.17,2.131,21.794,22.942
336.33,2.1284,21.791,22.948
336.5,2.1248,21.803,22.953
336.67,2.1253,21.803,22.959
336.83,2.1228,21.805,22.965
337,2.1253,21.818,22.971
337.17,2.126,21.816,22.977
337.33,2.1248,21.832,22.982
337.5,2.127,21.833,22.988
337.67,2.1262,21.831,22.995
337.83,2.1286,9.0051,23.001
