Volume injected (mL), NC (-)
0.069978,0.059473
0.070127,0.059307
0.070276,0.059215
0.070424,0.059473
0.070573,0.059449
0.070722,0.059669
0.070871,0.059358
0.07102,0.059641
0.071169,0.059987
0.071318,0.059972
0.071467,0.059563
0.071616,0.059852
0.071764,0.060038
0.071913,0.060108
0.072062,0.059761
0.072211,0.06036
0.07236,0.060402
0.072509,0.060014
0.072658,0.059999
0.072807,0.060526
0.072956,0.060491
0.073104,0.060711
0.073253,0.060282
0.073402,0.060427
0.073551,0.060233
0.0737,0.060471
0.073849,0.060198
0.073998,0.060362
0.074147,0.060559
0.074296,0.060659
0.074444,0.06044
0.074593,0.060923
0.074742,0.060757
0.074891,0.060755
0.07504,0.060476
0.075189,0.060702
0.075338,0.060814
0.075487,0.060901
0.075636,0.060821
0.075784,0.061141
0.075933,0.061015
0.076082,0.061209
0.076231,0.061218
0.07638,0.061455
0.076529,0.061207
0.076678,0.061424
0.076827,0.061355
0.076976,0.061515
0.077124,0.061537
0.077273,0.061899
0.077422,0.061387
0.077571,0.061745
0.07772,0.061817
0.077869,0.062095
0.078018,0.061463
0.078167,0.061885
0.078316,0.061889
0.078464,0.062129
0.078613,0.061858
0.078762,0.061957
0.078911,0.062278
0.07906,0.06238
0.079209,0.062189
0.079358,0.062307
0.079507,0.062652
0.079656,0.062347
0.079804,0.062214
0.079953,0.062445
0.080102,0.06255
0.080251,0.06236
0.0804,0.062459
0.080549,0.062739
0.080698,0.062687
0.080847,0.062806
0.080996,0.062411
0.081144,0.062716
0.081293,0.062843
0.081442,0.062993
0.081591,0.062295
0.08174,0.062647
0.081889,0.063138
0.082038,0.062911
0.082187,0.062727
0.082336,0.062857
0.082484,0.063153
0.082633,0.063039
0.082782,0.062818
0.082931,0.063012
0.08308,0.063262
0.083229,0.063264
0.083378,0.063205
0.083527,0.063435
0.083676,0.063448
0.083824,0.063348
0.083973,0.063331
0.084122,0.063306
0.084271,0.063311
0.08442,0.063703
0.084569,0.063438
0.084718,0.063652
0.084867,0.063838
0.085016,0.06383
0.085164,0.063173
0.085313,0.063695
0.085462,0.063925
0.085611,0.063638
0.08576,0.063572
0.085909,0.063708
0.086058,0.063795
0.086207,0.063826
0.086356,0.063687
0.086504,0.063924
0.086653,0.064094
0.086802,0.064049
0.086951,0.063868
0.0871,0.064076
0.087249,0.064144
0.087398,0.064071
0.087547,0.063935
0.087696,0.064032
0.087844,0.064259
0.087993,0.064399
0.088142,0.064219
0.088291,0.064205
0.08844,0.064248
0.088589,0.064624
0.088738,0.06446
0.088887,0.064468
0.089036,0.064639
0.089184,0.064609
0.089333,0.06461
0.089482,0.064703
0.089631,0.064654
0.08978,0.064648
0.089929,0.064664
0.090078,0.064864
0.090227,0.064626
0.090376,0.065076
0.090524,0.064587
0.090673,0.06481
0.090822,0.065049
0.090971,0.065235
0.09112,0.065005
0.091269,0.065089
0.091418,0.065201
0.091567,0.065567
0.091716,0.064806
0.091864,0.065198
0.092013,0.065137
0.092162,0.065458
0.092311,0.06499
0.09246,0.065116
0.092609,0.065043
0.092758,0.065481
0.092907,0.065019
0.093056,0.065448
0.093204,0.065037
0.093353,0.065422
0.093502,0.065121
0.093651,0.06571
0.0938,0.065566
0.093949,0.065746
0.094098,0.065537
0.094247,0.065716
0.094396,0.065565
0.094544,0.065668
0.094693,0.065761
0.094842,0.065923
0.094991,0.065826
0.09514,0.065954
0.095289,0.065723
